ncei_id,location_name,ncei_magnitude,damage_order,mag_body_wave,published,damage_order_total,houses_damaged_total,houses_damaged_order_total,country,region_code,injuries,injuries_order,houses_destroyed,houses_destroyed_order,houses_damaged,houses_damaged_order,mag_moment,mag_surface_wave,injuries_total,injuries_order_total,houses_destroyed_total,houses_destroyed_order_total,deaths,deaths_order,damage_millions,deaths_total,deaths_order_total,damage_millions_total,intensity,usgs_id,time,latitude,longitude,depth,usgs_magnitude,place,sig,mmi,alert,magnitude,year,depth_category,region
5658,"CONGO: GOMA, LWIRO, BUKAVU; RWANDA:  MUGERA, KIGALI",6.2,1.0,5.9,True,1.0,,,CONGO,10,,,,2.0,,,6.2,6.3,,,,2.0,2.0,1.0,,2.0,1.0,,,usp000bf6u,2002-10-24 06:08:37.980000+00:00,-1.884,29.004,11.0,6.2,"34 km SW of Goma, Democratic Republic of the Congo",591,7.383,,6.2,2002,shallow,KIGALI
5660,"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",5.7,4.0,5.3,True,4.0,,4.0,ITALY,130,135.0,3.0,,,,4.0,5.7,5.6,135.0,3.0,,,30.0,1.0,796.0,30.0,1.0,796.0,7.0,usp000bftq,2002-11-01 15:09:00.810000+00:00,41.726,14.875,10.0,5.8,"2 km ESE of Casacalenda, Italy",518,6.724,,5.8,2002,shallow,CAMPOBASSO
5661,PAKISTAN:  GILGIT,5.4,3.0,5.3,True,3.0,1000.0,4.0,PAKISTAN,60,40.0,1.0,,3.0,,3.0,5.4,5.3,40.0,1.0,,,11.0,1.0,,11.0,1.0,,,usp000bfug,2002-11-01 22:09:29.280000+00:00,35.517,74.654,33.0,5.4,"54 km SE of Gilgit, Pakistan",449,4.609,,5.4,2002,intermediate,PAKISTAN:  GILGIT
5662,INDONESIA:  SUMATERA:  SIMEULUE,7.3,3.0,6.2,True,3.0,994.0,3.0,INDONESIA,60,65.0,2.0,,,994.0,3.0,7.3,7.6,65.0,2.0,,,3.0,1.0,,3.0,1.0,,,usp000bfuz,2002-11-02 01:26:10.700000+00:00,2.824,96.085,30.0,7.4,"50 km NW of Sinabang, Indonesia",842,6.865,,7.4,2002,shallow,INDONESIA:  SUMATERA:  SIMEULUE
5664,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",6.3,3.0,5.7,True,3.0,1256.0,4.0,PAKISTAN,60,40.0,1.0,100.0,2.0,100.0,2.0,6.3,6.5,40.0,1.0,100.0,2.0,19.0,1.0,,19.0,1.0,,,usp000bj2e,2002-11-20 21:32:30.810000+00:00,35.414,74.515,33.0,6.3,"58 km SSE of Gilgit, Pakistan",611,5.753,,6.3,2002,intermediate,MUSHKIN
5667,CHINA:  GANSU PROVINCE:  YUMNE,5.5,3.0,5.6,True,3.0,,,CHINA,30,,,13380.0,4.0,,,5.5,5.3,,,13380.0,4.0,2.0,1.0,,2.0,1.0,,,usp000bkpm,2002-12-14 13:27:29.100000+00:00,39.736,97.443,22.0,5.6,"27 km WSW of Laojunmiao, China",482,6.056,,5.6,2002,shallow,CHINA:  GANSU PROVINCE:  YUMNE
5673,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",7.5,4.0,6.5,True,4.0,6615.0,4.0,MEXICO,150,1073.0,4.0,2005.0,4.0,6615.0,4.0,7.5,7.6,1073.0,4.0,2005.0,4.0,29.0,1.0,116.3,29.0,1.0,116.3,8.0,usp000bnyr,2003-01-22 02:06:34.610000+00:00,18.77,-104.104,24.0,7.6,"16 km SSW of Cuyutlán, Mexico",889,6.981,,7.6,2003,shallow,JALISCO
5676,"TURKEY:  SAGLAMTAS, PULUMUR",6.1,1.0,5.6,True,1.0,,2.0,TURKEY,140,,2.0,,,,,6.1,6.0,,2.0,,,1.0,1.0,,1.0,1.0,,,usp000bpa1,2003-01-27 05:26:23.040000+00:00,39.5,39.878,10.0,6.1,"2 km NW of Pulumer, Turkey",572,7.62,,6.1,2003,shallow,PULUMUR
5682,CHINA:  S. XINJIANG:  BACHU,6.3,4.0,5.8,True,4.0,,,CHINA,40,4000.0,4.0,71000.0,4.0,,,6.3,6.3,4000.0,4.0,71000.0,4.0,261.0,3.0,,261.0,3.0,,,usp000brbp,2003-02-24 02:03:41.450000+00:00,39.61,77.23,11.0,6.3,"107 km E of Kashgar, China",611,7.576,,6.3,2003,shallow,CHINA:  S. XINJIANG:  BACHU
5683,CHINA:  S. XINJIANG:  BACHU,5.4,1.0,5.1,True,1.0,,,CHINA,40,,,,,,,5.4,5.3,,,,,5.0,1.0,,5.0,1.0,,,usp000bre9,2003-02-25 03:52:41.060000+00:00,39.483,77.393,10.0,5.4,"119 km N of Shache, China",449,6.565,,5.4,2003,shallow,CHINA:  S. XINJIANG:  BACHU
